provenance	hierarchy	port	type	details
swan-song-sync	core_top:ic|synch_3:displaymode_grayscale_to_bridge	rise	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-sync	core_top:ic|synch_3:displaymode_grayscale_to_bridge	fall	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-sync	core_top:ic|synch_3:displaymode_grayscale_to_video	rise	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-sync	core_top:ic|synch_3:displaymode_grayscale_to_video	fall	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
agg23-predecessor	core_top:ic|sound_i2s:sound_i2s|sync_fifo:sync_fifo	write_en_s	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
agg23-predecessor	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	increasessheadercount	Input	Input port expression (32 bits) is wider than the input port (1 bits) it drives.  The 31 most-significant bit(s) in the expression will be dangling if they have no other fanouts.
agg23-predecessor	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	savestate_number	Input	Input port expression (32 bits) is wider than the input port (2 bits) it drives.  The 30 most-significant bit(s) in the expression will be dangling if they have no other fanouts.
agg23-predecessor	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	eepromwrite	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
agg23-predecessor	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	state_loaded	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
agg23-predecessor	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	rewind_on	Input	Declared by entity but not connected by instance. If a default value exists, it will be used.  Otherwise, the port will be connected to GND.
agg23-predecessor	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	rewind_active	Input	Declared by entity but not connected by instance. If a default value exists, it will be used.  Otherwise, the port will be connected to GND.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_cpu_done	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_cpu_cs	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_cpu_ip	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_cpu_pc	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_reg_write	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_reg_addr	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_reg_data	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_reg_instruction_id	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_reg_origin_pc	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_reg_origin_status	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_gpu_vram_addr	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_gpu_vram_valid	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_gpu_vram_role	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_gpu_vram_value	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_gpu_vram_collision	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_bg0_cell_valid	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_bg0_cell_map_addr	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_bg0_cell_map_value	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_bg0_cell_row_addr	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_bg0_cell_row_value	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
swan-song-debug	core_top:ic|wonderswan:wonderswan|SwanTop:SwanTop	debug_bg0_cell_meta	Output	Declared by entity but not connected by instance. Logic that only feeds a dangling port will be removed.
